metric,condition,n,mean,sd,median
Time per step (s),Gesture,11,31.978052314935066,15.902711242154792,30.373136125000002
Time per step (s),Language + Gesture,11,31.28145323538961,8.355240789504878,30.5875295
Time per step (s),Task-Aware,11,27.81235946753247,7.716520832077648,26.91825725
Time per part (s),Gesture,11,13.71611044271679,6.392660232556287,13.213251666666666
Time per part (s),Language + Gesture,11,13.640737108175138,5.0030819714814,12.2049445
Time per part (s),Task-Aware,11,12.70067917329252,4.099880603483423,11.938897777777777
Error rate (wrong / total selections),Gesture,11,0.1991602715466352,0.09930953849372523,0.1875
Error rate (wrong / total selections),Language + Gesture,11,0.0,0.0,0.0
Error rate (wrong / total selections),Task-Aware,11,0.0,0.0,0.0
Interactions per step,Gesture,11,33.73701298701299,22.463314893440266,31.375
Interactions per step,Language + Gesture,11,2.74025974025974,0.488539814424877,2.625
Interactions per step,Task-Aware,11,2.7288961038961044,0.31296579385958395,2.7142857142857144
Interactions per part,Gesture,11,14.37751916556096,9.41934188658446,13.904761904761905
Interactions per part,Language + Gesture,11,1.1951284096020938,0.34937483932293056,1.1
Interactions per part,Task-Aware,11,1.2393910527037462,0.19438538265527827,1.1666666666666667
Head translation per step (m),Gesture,11,1.3901274772727275,1.1139503721949173,1.12415125
Head translation per step (m),Language + Gesture,11,0.6720195551948053,0.45234553898299157,0.621988875
Head translation per step (m),Task-Aware,11,0.644661349025974,0.592010653036462,0.47907625
Hand translation per step (m),Gesture,9,2.862432930555556,1.078103576618759,2.962412125
Hand translation per step (m),Language + Gesture,9,1.4705187321428572,1.252990070170764,1.330217875
Hand translation per step (m),Task-Aware,9,1.133640617063492,1.3301850635360597,0.54318975
Head rotation per step (deg),Gesture,11,284.81200341720773,258.2077733078492,236.402955125
Head rotation per step (deg),Language + Gesture,11,220.6209282467532,160.87839481677096,239.43124724999998
Head rotation per step (deg),Task-Aware,11,172.5371783685065,127.96101701190955,128.523193125
