scale,condition,n,mean,sd,median,q1,q3
NASA-TLX,Gesture,11,44.36363636363636,26.698295636594292,38.333333333333336,27.666666666666664,65.0
NASA-TLX,Language + Gesture,11,27.515151515151516,13.772447241877641,21.833333333333332,20.416666666666664,37.916666666666664
NASA-TLX,Task-Aware,11,15.34848484848485,11.347406591976705,14.166666666666666,7.666666666666666,21.75
Assistance Confidence,Gesture,11,5.090909090909091,2.0225995873897262,6.0,3.5,6.5
Assistance Confidence,Language + Gesture,11,4.863636363636363,1.3618169680781094,4.5,4.0,6.0
Assistance Confidence,Task-Aware,11,6.0,1.0954451150103321,6.5,5.5,6.75
Request Clarity and Ease,Gesture,11,4.136363636363637,2.013590190318143,4.0,2.75,5.5
Request Clarity and Ease,Language + Gesture,11,5.090909090909091,1.28097973868016,5.5,3.75,6.0
Request Clarity and Ease,Task-Aware,11,6.181818181818182,0.7833494518006402,6.0,5.75,7.0
Interaction Adaptation Burden,Gesture,11,4.090909090909091,2.119176512447486,5.0,2.5,6.0
Interaction Adaptation Burden,Language + Gesture,11,3.1818181818181817,1.031327476428493,3.5,2.5,4.0
Interaction Adaptation Burden,Task-Aware,11,2.772727272727273,1.9411805217912674,2.0,2.0,2.75
