condition,step_id,step_title,n,step_time_mean_s,step_time_sd_s,interactions_mean,interactions_sd,head_translation_mean_m,head_translation_sd_m,head_rotation_mean_deg,head_rotation_sd_deg,left_hand_mean_m,right_hand_mean_m
Gesture,r1_bearing_right,,11,53.57415709090909,46.080920015807685,57.18181818181818,62.303801138964516,2.5619841818181817,2.4891233038651106,555.9530151818182,694.2859604807671,1.193018,2.3568516666666666
Gesture,r1_bearing_left,,11,24.53302718181818,26.817635439274042,20.272727272727273,18.83661810989918,1.3390475454545454,1.7729080586489172,284.32565427272726,508.78861325399316,0.7283874444444445,1.5749523333333333
Gesture,r1_gear_rod,,11,28.677227636363636,16.199803809103916,35,21.274397758808593,1.447329909090909,1.0777630181806626,352.51219745454546,326.3810503768058,1.0420535555555555,1.6118313333333334
Gesture,r2_bearing_right,,11,19.317876454545456,17.13082472058657,21.90909090909091,20.46193805803617,0.8416993636363637,0.893582196154363,196.99238672727273,231.12927429359084,1.056600888888889,1.6980552222222223
Gesture,r2_bearing_left,,11,16.578863272727272,13.812639036463779,22.818181818181817,24.02006736800787,0.663079,0.659793845210002,100.77229627272727,96.95308117397167,0.723407,1.308512
Gesture,r2_gear_rod,,11,33.57520881818182,20.982945664215666,35.81818181818182,28.87496556471776,1.3039846363636363,1.4539937487517112,205.41952645454546,121.43536567409362,1.3602775555555555,2.1474674444444446
Gesture,fasten_stand,Fastening Step,11,42.380061227272726,25.111008162724325,48.18181818181818,30.62292664595656,1.6006101363636362,1.7560658135481297,302.400171,326.7658802764618,0.921986611111111,2.127037666666667
Language + Gesture,r1_bearing_right,,11,19.912421090909092,7.311044631749207,1.9090909090909092,0.5393598899705937,0.647645,0.6886102176079004,197.74243027272726,226.92231369057862,0.37622355555555553,0.9136431111111111
Language + Gesture,r1_bearing_left,,11,22.007225545454546,17.582221247600817,1.9090909090909092,1.2210278829367867,0.7171176363636363,1.0916466673173397,251.87260736363638,346.36454347809325,0.6157663333333334,0.9610824444444445
Language + Gesture,r1_gear_rod,,11,34.02731854545454,15.549563672541947,2.909090909090909,0.7006490497453707,0.4885594545454545,0.5812069485805145,187.98722427272727,211.4648942273943,0.8836345555555556,0.6318027777777777
Language + Gesture,r2_bearing_right,,11,23.359129636363637,3.7891764919294864,2.090909090909091,0.30151134457776363,0.6743597272727273,0.5410258518439005,247.84172263636364,190.56315595901606,1.0971302222222223,0.8427684444444444
Language + Gesture,r2_bearing_left,,11,24.507497,12.638524502498834,1.8181818181818181,0.6030226891555273,1.0809447272727273,0.8642535903303024,283.4427938181818,193.76370754027357,0.35319999999999996,1.1412942222222222
Language + Gesture,r2_gear_rod,,11,55.05412809090909,32.17608157808866,4.818181818181818,1.9400093720485898,0.5848858181818182,0.5711826941840619,219.37442036363637,210.902271869187,0.9825805555555556,1.267259
Language + Gesture,fasten_stand,Fastening Step,11,36.99836968181818,11.812468409158805,3.3181818181818183,0.6030226891555273,0.6242064090909091,0.9413798010772756,203.7819005,321.34443562203575,0.18997233333333333,0.6353616666666667
Task-Aware,r1_bearing_right,,11,21.962984727272726,9.998136259585674,2.1818181818181817,0.7507571935295483,0.6634796363636364,0.6310842097903058,192.47489863636363,155.8115746461816,0.678428,1.5500457777777779
Task-Aware,r1_bearing_left,,11,15.646969272727272,12.583066604417654,1.5454545454545454,0.9341987329938275,0.5722878181818182,0.6748766951879163,194.6394458181818,207.3778680272505,0.19275322222222221,0.6776203333333334
Task-Aware,r1_gear_rod,,11,31.962252636363637,13.656257035283842,3.272727272727273,0.7862453931068965,0.6585341818181818,0.7465644611087268,174.70633727272727,166.51414757045492,0.3051933333333333,0.46815077777777775
Task-Aware,r2_bearing_right,,11,21.716970181818184,7.778249141682733,2.272727272727273,0.6466697906828632,0.6362091818181818,0.597838198403183,160.97642727272728,119.15408918316807,0.49243688888888887,1.1595877777777777
Task-Aware,r2_bearing_left,,11,18.191882818181817,7.215334275219546,1.6363636363636365,0.504524979109513,0.5939786363636363,0.5108525595582883,160.00620509090908,130.2556247211518,0.7503842222222222,0.7279493333333333
Task-Aware,r2_gear_rod,,11,46.74233509090909,12.558250566885622,4.2727272727272725,0.46709936649691375,0.7935975454545454,1.0779983861736866,172.15122300000002,157.43238576139004,0.40281933333333336,0.8182032222222222
Task-Aware,fasten_stand,Fastening Step,11,34.055398181818184,9.441793291426537,3.409090909090909,0.5393598899705937,0.65913,0.8422389889602298,167.0650875909091,193.04884893789588,0.14020155555555555,0.2756998333333333
