index,timestamp,participant,target_type,target_id,target_name,render_index,description,referring_type,traits_used,presentation_number,target_presentations,Verified
1,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the gearbox mounting plate,technical_name,technical_name,1,10,o
2,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the large flat black rectangular plate,shape,size|color|shape,2,10,o
3,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the base plate underneath all four colored rows,spatial,spatial,3,10,o
4,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the plate to which all eight bearing support brackets are screwed,relationship,relationship|function,4,10,o
5,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the large black rectangular mounting plate below every gear shaft and stand,mixed,size|color|shape|spatial|relationship,5,10,o
6,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,the rigid plate that supports and locates every gearbox row,function,function|relationship,6,10,o
7,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,"the broad black rectangular base beneath the white, red, green, and blue mechanisms",mixed,size|color|shape|spatial,7,10,o
8,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,black baseboard,mixed,color|technical_name,8,10,o
9,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,gearbox base,technical_name,technical_name,9,10,o
10,,SYNTHETIC_GENERATED,individual_part,BaseBoard.stl,BASE_BOARD,1,mounting plate,technical_name,technical_name,10,10,o
11,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the radial shaft-support bearing,technical_name,technical_name,1,10,o
12,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the small black circular ring with a center hole,shape,size|color|shape,2,10,o
13,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the round black part centered inside a bearing support bracket,spatial,color|shape|spatial,3,10,o
14,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the bearing through which a gear shaft passes,relationship,relationship|function,4,10,o
15,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the small black ring-shaped bearing that fits into each colored stand,mixed,size|color|shape|relationship,5,10,o
16,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the black bearing that supports a rotating gear shaft inside a stand,function,color|function|relationship,6,10,o
17,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,the small black ring seated in the round opening of a colored support bracket,mixed,size|color|shape|spatial|relationship,7,10,o
18,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,black bearing,mixed,color|technical_name,8,10,o
19,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,circular bearing,mixed,shape|technical_name,9,10,o
20,,SYNTHETIC_GENERATED,individual_part,Bearing.stl,BEARING,2,gear-stand bearing,relationship,technical_name|relationship,10,10,o
21,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the Row 1 hand crank,technical_name,technical_name,1,10,o
22,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the white bent lever with a rounded grip,shape,color|shape,2,10,o
23,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the handle immediately to the right of the right white gear stand,spatial,color|spatial|relationship,3,10,o
