timestamp,participant_id,condition,event_type,modality,step_id,step_title,step_state,step_attempt,step_event_index,tool_id,tool_name,part_elapsed_s,step_elapsed_s,head_translation_m,head_rotation_deg,left_hand_translation_m,right_hand_translation_m,total_hand_translation_m,left_hover_time_s,right_hover_time_s,any_hover_time_s,hover_time_percent,left_hover_episodes,right_hover_episodes,left_hover_translation_m,right_hover_translation_m,total_hover_translation_m,correct,transcript,vlm_prediction,vlm_raw,graph_decision,spoken_response,state_json
2026-09-04T17:36:46.072-04:00,apoorva,language,step_started,keyboard,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 6.073398981243372e-05, ""step_event_index"": 1, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:51.209-04:00,apoorva,language,participant_speech_submitted,speech,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,2,,,,5.136883,,,,,,,,,,,,,,,,row2 gearstand right,,,speech_proxy,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 5.136896119918674, ""step_event_index"": 2, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:51.256-04:00,apoorva,language,vlm_request_submitted,speech,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,3,,,,5.183732,,,,,,,,,,,,,,,,row2 gearstand right,,,speech_proxy,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 5.183745015994646, ""step_event_index"": 3, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.028-04:00,apoorva,language,vlm_inference_completed,lifecycle,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,4,,,,8.956195,,,,,,,,,,,,,,,,row2 gearstand right,,,STAND_ROW2_RIGHT,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 8.956206848961301, ""step_event_index"": 4, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.075-04:00,apoorva,language,vlm_interaction,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,5,,,,,,,,,,,,,,,,,,,,row2 gearstand right,STAND_ROW2_RIGHT,"{""intent"":""part_reference"",""part_action"":""reference"",""reference_relation"":""direct"",""step_scope"":"""",""target"":""STAND_ROW2_RIGHT"",""candidates"":[],""exclude_labels"":[]}",language_grounded,I identified and highlighted the Row 2 right stand.,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 9.00335966493003, ""step_event_index"": 5, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.108-04:00,apoorva,language,part_selection,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,6,21,GEAR_STAND_ROW2_RIGHT,9.035943,9.035943,,,,,,,,,,,,,,,1,,,,,,"{""acquired_tool_ids"": [21], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 9.036020775907673, ""step_event_index"": 6, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.129-04:00,apoorva,language,object_acquired,language,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,7,21,GEAR_STAND_ROW2_RIGHT,9.035943,9.035943,,,,,,,,,,,,,,,1,,,,,,"{""acquired_tool_ids"": [21], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 9.0564573709853, ""step_event_index"": 7, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.148-04:00,apoorva,language,tts_queued,lifecycle,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,8,,,,9.076001,,,,,,,,,,,,,,,,1 part left.,,,replace,,"{""acquired_tool_ids"": [21], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 9.076010368997231, ""step_event_index"": 8, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:55.169-04:00,apoorva,language,tts_started,lifecycle,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,9,,,,9.096552,,,,,,,,,,,,,,,,1 part left.,,,,,"{""acquired_tool_ids"": [21], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 9.096563298953697, ""step_event_index"": 9, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
2026-09-04T17:36:56.896-04:00,apoorva,language,tts_finished,lifecycle,r2_bearing_right,Row 2.1: bearing into right stand,ready,1,10,,,,10.823495,,,,,,,,,,,,,,,,1 part left.,,,,,"{""acquired_tool_ids"": [21], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""left_hand_translation_m"": null, ""removed_tool_ids"": [], ""right_hand_translation_m"": null, ""selected_step"": ""r2_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 10.823507820954546, ""step_event_index"": 10, ""total_hand_translation_m"": null, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [21, 34]}"
